ID,Observed capability and evidence,Proposed destination,Required parity check,Risk if omitted (inference),Slice,Design status,Implementation status,Implementation reference,Role and fixture,Desktop result,Mobile result,Mutation or permission result,Evidence link
P11,"Assign owner using eligible employee options and coordinator policy. S: A, C, H. B: senior editor. T: earlier assignment fixtures.",Opportunity → Ownership & status.,Retain authorized assignment choices and Unassigned semantics. Regular coordinator cannot reassign through UI or altered payload. Task owner remains distinct.,Incorrect handoffs or unintentional permission expansion.,S3,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P12,"Lifecycle status edit, required terminal reason and explicit closed-status reopen reason. S: A, C, H. B: editor only. T: earlier lifecycle fixtures.",Opportunity → Ownership & status.,Reuse allowed statuses/transitions and both reason rules. Capture exact opportunity ID at open; conflict preserves draft and never retargets it.,Closed history can be erased or the wrong opportunity changed.,S3,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P13,Contextual Move to next status action with confirmation. S: A.,Opportunity section → Move to [status] / Change status.,Preserve the shortcut's result and required confirmation/reasons through the same authorized mutation path; no ambiguous contact-wide status action.,A routine progression requires unnecessary editor navigation or skips lifecycle safeguards.,"S1, S3",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P14,"Start opportunity flow with division, initial status, assignment and reason. S: A, H. T: earlier route fixtures.",Quiet No active inquiry/closed state → secondary Start inquiry when authorized for actual new business.,Keep existing creation policy and fields; enforce duplicate-active protection. Do not make timeline inquiry events editable stand-ins for lead records.,Staff cannot reopen a relationship correctly after prior work ends.,"S1, S3",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P15,"After a successful change to Enrolled, absence of an active course triggers Add Enrollment prompt. S: A.","Successful opportunity save/advance → enrollment editor, with clear status-saved acknowledgement.",Prompt only under existing conditions; never auto-create a course. Canceling the course prompt keeps the already-saved status. Failed status save opens no prompt.,"Staff may mark Enrolled but miss recording the actual course, or misunderstand cancellation.",S3,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P16,"Authorized direct archive with reason, confirmation, busy guard and return after success. S: A, C, H. B: 25. T: archive fixtures.",Header More → Archive contact; centered confirmation separate from field editor.,"Preserve archival/history behavior and policy. Keep reason semantics, current default for blank reason, errors and success navigation. Cancel performs no mutation.",Needed cleanup becomes inaccessible or archive is confused with deletion.,S3; existing editor until then,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P17,"Regular coordinator requests archive approval rather than archiving directly; duplicate request handling and approval task workflow. S: C, H. T.",Header More → Request archive approval.,Keep contact active when request is submitted; distinguish requested from archived. Preserve existing request reuse and Tasks approval/denial flow; no new inline approval authority.,Users think a record is archived when it is still awaiting review.,S3,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P18,"Timeline categories, conditional division filters and per-filter counts; Source details excluded from All history. S: A, B. B.",Activity → one filter family.,"Keep every applicable category, its empty state and count semantics. Consolidate duplicate snapshot-filter entry points without losing the filters. Event totals never become open-task counts.","Operators lose a way to find notes, outreach, receipts, or imported history.","S1, S5",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P19,"Append-only internal note, required text, Ctrl/Cmd+Enter, in-flight protection and error retention. S: A, E. T. B: prior composer observation.",Activity → Add note; always reachable independently of long history.,"Preserve note text, keyboard submit, author/time and append-only behavior. Empty/pending/unauthorized submits blocked; failure retains draft; success clears and refreshes.","Notes are lost, duplicated or slower to record.","S1, S5",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P20,"Event author/time/body, category, related record title/meta/stages and Open link, Source details disclosure/raw text. S: A, B.",Activity entries with expandable event details.,"Preserve all available event and linked-record information and exact links; technical provenance may be disclosed, never discarded. Distinguish system origin from human action.",Staff cannot reconstruct what happened or inspect the linked work.,S5,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P21,"Record outreach dialog: nine outcomes, six logging channels, attempted address/number, note, and seven optional qualification updates. S: A, F. B: prior unsaved dialog.",Task band → Record outreach.,"Keep full outcome/profile ledger below and existing validation/focus. No-task path completes no task. Preserve outcome effects on status/contactability, not just a timeline note.","Operational state fails to reflect wrong-number, DNC, enrollment or qualification outcomes.",S2,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P22,"Exact follow-up completion and action/taskId/leadId deep-link context, including explicit no-lead context. S: A, F, H. T: earlier selection fixtures.",Task band → Complete follow-up; existing task links.,"Bind selected task/contact/division/lead IDs. Missing, stale or mismatched task fails visibly; never silently complete another task. Close cleans action parameters without losing return context.",The wrong commitment may be closed.,S2,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P23,"Optional next follow-up in the same outcome save, due-date shortcuts, eligible next owner and closing-outcome rules. S: A, F.",Existing outcome dialog's Next follow-up section.,Preserve date shortcuts and no-date/needs-follow-up semantics. Only permitted next-owner choices; close outcomes retain policy restrictions. Do not force a separate save that loses the combined workflow.,Future work goes unscheduled or assigned to the wrong person.,S2,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P24,"Separate Schedule follow-up entry into Tasks, carrying contact/task-type context. S: A. B: prior navigation.",Task band → Schedule follow-up.,Preserve scheduling access; explicitly carry contact/division/opportunity context and eligible owner behavior. Do not choose an arbitrary employee. Full Tasks redesign is outside scope.,Staff lose the next commitment or schedule it against another context.,S2,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P25,"Conversation history, direction/channel/provider, delivery status, timestamp, body fallback and message metadata. S: A, G. B: admin/senior empty states only.",Conversations tab → message details disclosure.,"Keep every metadata field in the ledger, including errors and IDs. Senior retains readable history without composer. Empty, loading and failed reads remain distinct.",Staff cannot verify delivery or diagnose a failed message.,"S1, S5",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P26,"Admin manual send UI for Messenger and WhatsApp; eligible templates or custom text; request ID and pending safeguards. S: A, G. B: prior admin draft only.","Conversations composer, gated by existing capabilities.","Preserve both UI channels, template filtering, custom mode, preview/body rules and idempotency. Do not imply that six outreach logging channels are six send integrations.",A working send mode disappears or a duplicate outbound message is sent.,"S1, S5",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P27,"Server role, consent and provider/channel checks; blocked/error messages, including sent-but-audit-needs-review outcome. S: A, G.",Conversations readiness and send result states.,"Retain server rechecks and distinguish not sent, failed, and sent with audit issue. A retry must not resend an already accepted operation.",Users may retry a successful send or attempt disallowed communication.,S5,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P28,"Current courses, course history selection and inspector; plural active enrollments supported. S: A, I. B: empty state only. T: earlier course fixtures.",Enrollments tab → actual current/planned/history rows and selected record.,"Preserve all actual records, selection and current/history/planned distinctions. Use endpoint IDs rather than bootstrap summaries or row positions.",One course can hide another or an edit can target the wrong enrollment.,"S1, S4",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P29,"Add Enrollment, default current/active workflow. S: A, I.",Enrollments tab → Add enrollment (opens existing contextual form).,"Keep full course field ledger, validation and POST path, with explicit authorized relationship context.",Staff cannot record a new course.,S4; existing editor until then,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P30,"Add Course History, default completed workflow. S: A, I.",Enrollments tab → Add history.,Preserve separate historical entry mode and relevant date/outcome fields; do not force history to masquerade as a current course.,Prior study history is lost or incorrectly counted as active.,S4; existing editor until then,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P31,"Edit selected course record through PATCH. S: A, I.",Enrollments tab → selected record → Edit.,"Read and save exact course ID; preserve all fields, server errors and refreshed selection. Existing values outside current options remain representable.",Corrections overwrite a different course or erase older values.,S4,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P32,"Complete active course shortcut. S: A, I.",Enrollments tab → active record → Complete.,Preserve completed preselection and editable terminal details before save; no automatic completion on opening.,Completion history becomes harder to record or changes without confirmation.,S4,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P33,"End active course shortcut with cancelled default and alternative terminal states. S: A, I.",Enrollments tab → active record → End enrollment.,"Preserve cancelled/dropped/transferred/completed choices where policy permits, date/outcome behavior, and cancellation without mutation.",Drop/transfer/cancellation reasons become indistinguishable.,S4,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P34,"Saved class section or manual course details; six statuses, start-date rule, adaptive terminal fields, duplicate-active validation. S: A, I. T: earlier fixtures.",Enrollment editor.,"Preserve active/currently selected inactive sections, shared section fields, manual fallback, all statuses and multiple distinct active courses. Duplicate active same section stays rejected.",Students become linked to the wrong section or valid simultaneous courses are blocked.,S4,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P35,"Receipt list with number/date/amount/status and Download PDF. S: A, L. B: empty list only. T: receipt format fixtures.",Receipts tab → saved receipt list → Download PDF.,Retain every visible receipt and download by actual financial record. Downloading an existing document must not create another payment.,Staff cannot find or reproduce a saved receipt.,"S1, S4",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P36,"Generate Student Receipt, Enrolled lifecycle eligibility, complete payment form and Save & Download Receipt. S: A, L. B: 28, no submit. T.",Receipts tab → Generate student receipt (direct form).,"Preserve financial permission, enrolled status rule, all five editable inputs and bound contact/division context. Save once, then generate PDF; a download failure offers retry of the saved receipt without another payment.",A core financial workflow is lost or creates duplicate payments.,S4; existing form until then,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P37,"Linked work-order list and exact Open links; conditional related work can appear for USA too. S: A, B.",USA Work Orders tab when applicable; retain Signs Work Orders tab.,Do not assume USA has no work orders. Preserve title/number/due/status and exact record link under current visibility rules.,Existing related work becomes unreachable after removing tabs.,"S1, S4",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P38,Create Work Order entry with contact context and work-order permission. S: A.,Work Orders tab → existing contact-scoped Create work order route where authorized.,Preserve scoped route and permission; do not replace it with a decorative related-record heading.,Operators must restart work elsewhere and lose contact linkage.,"S1, S4",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P39,"Signs invoice generation from selected/row work order; create record then PDF. S: A, L.",Retain Signs Work Orders/Financials controls.,"Keep actual work-order linkage, duplicate/existing-invoice behavior and permission. Distinguish financial creation from downloading an existing document.",Missing or duplicate invoices interrupt billing.,Retain; shared S4 regression gate,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P40,"Signs Record Invoice Payment with invoice selection and balance preview. S: A, L.",Retain Signs invoice/payment dialog.,"Preserve all six editable inputs, including invoice/work-order selection, current and after-payment balances, validation and saved linkage.",Payments attach to the wrong invoice or balances become unclear.,Retain; shared S4 regression gate,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P41,"Signs financial record list covering existing document types, status/amount/date/number and PDF downloads. S: A, L.",Retain Signs Financials screen.,Preserve all visible types and document-specific generation/download functions; do not apply USA receipt-only filtering to Signs.,"Estimates, invoices or payments disappear from client history.",Retain; shared S4 regression gate,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P42,"New Estimate with dates/status, editable line items, add/remove and calculated total. S: A, L.",Retain Signs estimate dialog.,"Preserve estimate field ledger, at least one line, positive billable total, contact/division binding and existing save/PDF behavior.",Staff lose quoting capability or generate an incorrect amount.,Retain; shared S4 regression gate,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P43,"Signs linked people: name/role/primary marker/phone/email/notes and channel links. S: A, M.","Retain Signs linked Contacts tab; People is an optional clearer label, not a required Signs redesign.",Keep separate people and their exact links; do not flatten them into the account's primary identity.,Staff contact the wrong person at a client organization.,Retain; shared S1 regression gate,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P44,"Add linked person. S: A, M.",Retain Add linked person dialog.,"Preserve all six fields and required name, current authorization and contact association.",New decision makers cannot be recorded.,Retain,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P45,"Edit linked person and designate primary contact. S: A, M.",Retain person Edit dialog.,PATCH exact person ID; primary selection follows existing server rule clearing other primaries. Account identity remains separate.,Several people appear primary or the wrong person is changed.,Retain,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P46,"Remove linked person with centered confirmation. S: A, M.",Retain selected person's Remove action/dialog.,Confirm the named person and remove only that linkage/record through current endpoint; never archive the main contact.,A minor contact cleanup could affect the whole client record.,Retain,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P47,"Per-resource loading, empty and failure states, role denials and pending controls exist with uneven consistency. S: A and route handlers. B: empty forms/views.",Every new or reused resource surface.,"Preserve meaningful existing feedback and close documented gaps: failed reads are not empty success, failed saves retain draft, busy actions resist duplicate submission.",Users mistake unavailable data for absence or repeat writes.,All,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P48,Non-Postgres fallback branches for local data and features requiring server context. S: A.,Preserve existing fixture/local behavior while refactoring.,Local fixtures remain fixtures; server-only workflow limitations stay explicit. Do not show a local fallback save as a successful staging mutation.,Development evidence is mistaken for live behavior or local previews break.,All,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P49,"CRM, financial, work-order, send and import-review capabilities are separate; division/assignment checks remain server-side. S: C, G, H and access helpers. B: admin/senior only. T: prior policy fixtures.",Permission-driven read/action model across the workspace.,Verify both affordances and API denials for each relevant role/division. Do not infer financial/send permission solely from ability to edit a contact.,Refactor hides valid work or exposes unauthorized operations.,All,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P50,Audit found weak dirty-dismiss and return continuity; task URLs and drafts provide existing context to preserve. S/B: original F1/F10.,"Shared editor host, URL-owned tab/filter/selected-resource state and preserved directory return.","Add reliable unsaved-change protection, focus restoration and directory/resource return state. Switching sections preserves fields; invalid/stale context fails safely. This is an improvement, not proven current parity.",Drafts are lost and operators must repeatedly reconstruct their place.,S1–S5,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P51,"Approved improvement: distinguish stored contact source from selected opportunity source; legacy contacts need no opportunity. Baseline S: A, C and contact-profile-patch.js.",Contact-only and opportunity-only source correction contracts.,"Assert only the intended entity changes; authorized/denied/no-lead/closed/conflict/stale cases, custom/cleared values and unchanged original events. No historical guessing, bulk backfill or forced lead creation. Trace dependent ingestion/report consumers; leave old coupled form reachable until replacement passes.",A renamed editor can still overwrite unrelated attribution or exclude legacy contacts.,S1 source-scope extension,Mapped,Implemented locally,"src/lib/crm/contact-profile-patch.js; docs/contact-detail-redesign/implementation-2026-09-11.md",Focused source/bootstrap tests,Not exercised,Not exercised,Not exercised,
P52,Approved additional fix: database-backed bootstrap falls back to seedData.SOURCES[index % length] when source is absent. S: bootstrap-data.js around 288; no live affected count measured.,Unknown/Not recorded for absent actual attribution; explicit contact fallback only where honestly labeled.,Missing lead/contact attribution never produces a sample channel; genuine stored source fields and provenance survive. Contact source is not mislabeled as the inquiry source. No data rewrite.,Fabricated attribution misleads operators and reporting.,S3,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P53,Approved navigation contract: preserve each applicable production tab and avoid extra gateway navigation. S: A tab row around 1933; view-model conditions.,"Record plus Activity, Conversations, Enrollments, Receipts/Financials, Work Orders and Signs linked People as applicable.",Each tab directly renders records and domain actions; preserve permissions and existing dedicated routes. One primary creation CTA; no gateway-only Manage/View replacement or duplicate Record collection.,The cleaner screen merely buries core workflows behind another page.,"S1, S4",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P54,"Improvement: exact task behavior exists, but a deterministic next-task default was not specified.",Compact task band using actual authorized open follow-ups.,"Valid incoming exact task first; invalid explicit context never substitutes. Default oldest overdue, earliest upcoming, then undated; ties createdAt then ID. Test completion/cancellation/denial eligibility and display time zone.",Next work is inconsistent or a different task is accidentally selected.,S2,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P55,Improvement: direct owner/status correction without searching an editor section selector.,Opportunity → Change owner / Change status → same Ownership & status editor.,"One action opens the relevant section; same draft/save path, eligible owners, required reasons, confirmations and stale handling. No duplicate inline mutation state.",Routine updates gain navigation steps or inconsistent save semantics.,S3,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P56,Improvement: operational simplicity must be verified independently of capability existence.,Desktop-first operator walkthrough and populated tab/record fixtures.,"Compare common jobs with current flow: completion success, wrong turns and unnecessary navigation. No extra mandatory navigation for common in-tab actions. Keep keyboard/zoom/basic responsive baseline without a mobile-first workstream.",All features can exist while the redesign remains confusing.,All,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
